division,period_start,temp_mean_c,humidity_mean_pct,precip_total_mm
Barisal,2007-01-01,25.606906077348068,70.33303867403315,839.66
Barisal,2007-07-01,25.16820652173913,87.10472826086956,1724.34
Barisal,2008-01-01,25.614560439560442,72.35379120879121,486.16
Barisal,2008-07-01,25.50673913043478,85.49010869565218,1239.13
Barisal,2009-01-01,26.280331491712705,72.41011049723757,659.86
Barisal,2009-07-01,25.530597826086957,84.97342391304348,1720.36
Barisal,2010-01-01,26.218563535911603,71.32033149171271,939.05
Barisal,2010-07-01,25.88065217391304,85.12130434782608,1164.2
Barisal,2011-01-01,25.443370165745858,72.52364640883978,803.72
Barisal,2011-07-01,25.66907608695652,83.62646739130435,1473.3
Barisal,2012-01-01,26.181153846153848,69.66225274725275,641.39
Barisal,2012-07-01,24.910869565217393,84.77956521739131,1250.76
Barisal,2013-01-01,25.65657458563536,69.16342541436464,1029.1
Barisal,2013-07-01,25.49467391304348,85.5466847826087,1412.11
Barisal,2014-01-01,26.297955801104973,68.91707182320442,841.39
Barisal,2014-07-01,25.585760869565217,82.69353260869566,1300.36
Barisal,2015-01-01,25.98049723756906,69.84839779005524,1071.92
Barisal,2015-07-01,25.921521739130437,82.86184782608696,2296.69
Barisal,2016-01-01,26.486043956043957,74.20939560439561,1112.1
Barisal,2016-07-01,25.800054347826087,85.92521739130434,3753.2000000000003
Barisal,2017-01-01,25.026022099447513,79.33922651933702,1946.88
Barisal,2017-07-01,25.81576086956522,86.77103260869566,4682.43
Barisal,2018-01-01,24.867237569060777,78.60751381215469,1899.15
Barisal,2018-07-01,25.703097826086957,82.43157608695653,2549.99
Barisal,2019-01-01,25.53441988950276,74.5853591160221,1191.3799999999999
Barisal,2019-07-01,25.788097826086958,86.20440217391305,4032.73
Barisal,2020-01-01,24.638846153846156,77.86763736263737,1720.0
Barisal,2020-07-01,25.97978260869565,86.89701086956521,2577.53
Barisal,2021-01-01,26.12723756906077,71.84430939226519,1097.36
Barisal,2021-07-01,25.72733695652174,86.1158695652174,2200.27
Barisal,2022-01-01,25.13265193370166,76.72674033149171,1081.29
Barisal,2022-07-01,25.829402173913042,84.44201086956522,1729.47
Barisal,2023-01-01,25.869060773480665,73.62779005524861,976.97
Barisal,2023-07-01,26.156902173913043,85.44005434782608,2286.61
Barisal,2024-01-01,25.608296703296702,76.28934065934065,1110.39
Barisal,2024-07-01,25.997826086956525,85.9116847826087,3022.67
Barisal,2025-01-01,26.002375690607735,75.14994475138121,1458.06
Barisal,2025-07-01,25.517391304347825,85.75668478260869,2286.11
Chittagong,2007-01-01,24.74082872928177,71.89127071823204,1142.38
Chittagong,2007-07-01,25.32163043478261,86.59896739130434,2146.38
Chittagong,2008-01-01,25.025219780219782,73.31994505494505,642.99
Chittagong,2008-07-01,25.581902173913043,84.88,1481.4
Chittagong,2009-01-01,25.648618784530385,72.58149171270718,935.08
Chittagong,2009-07-01,25.550326086956524,84.44434782608695,2184.76
Chittagong,2010-01-01,25.6307182320442,72.00872928176796,1213.98
Chittagong,2010-07-01,25.90728260869565,84.95869565217392,1335.04
Chittagong,2011-01-01,24.886132596685083,73.48685082872929,982.02
Chittagong,2011-07-01,25.528858695652175,82.7828804347826,1758.19
Chittagong,2012-01-01,25.319065934065932,71.76010989010989,1008.33
Chittagong,2012-07-01,25.21211956521739,84.6816304347826,1486.23
Chittagong,2013-01-01,25.277016574585637,70.35911602209944,1181.96
Chittagong,2013-07-01,25.583260869565216,84.44228260869565,1446.24
Chittagong,2014-01-01,25.76850828729282,70.40403314917127,1291.67
Chittagong,2014-07-01,25.717445652173915,83.08114130434782,1531.83
Chittagong,2015-01-01,25.49552486187845,71.73906077348066,1020.38
Chittagong,2015-07-01,25.69407608695652,83.62114130434782,2441.53
Chittagong,2016-01-01,25.7178021978022,76.83538461538463,982.92
Chittagong,2016-07-01,26.096902173913044,84.67315217391305,3874.39
Chittagong,2017-01-01,24.755856353591163,80.5,2244.96
